,V1,V2
X83971_63,1.929925188,1.999754133
X83971_66,1.99997338,1.999601493
X84285_29,1.999999987,1.959296469
X84285_34,1.999998071,1.754237288
X84285_53,1.998092007,1
X85049_53,1.636842105,NA
X85061_5,NA,1.999999953
X85061_39,NA,1.999786267
X85061_58,NA,2
X86664_32,1.589500861,1.884057971
X86664_43,2,1
X86826_22,1.968557344,1
X86826_25,1.968557344,1
X86826_28,1.968557344,1
X86826_29,1.999973768,2
X86826_40,1.999982806,1.999995504
X86826_46,1.999982806,1.999995504
X86826_64,1.612341772,1.941836735
X87193_30,1.970033857,NA
X87193_59,1.999697967,NA
X87193_60,1.999761966,NA
X87863_59,1.92924789,NA
X87863_67,1.990402781,NA
X87863_68,1.989292666,NA
X87940_5,1.635600249,NA
X88423_5,2,NA
X88423_58,1.999999977,NA
X88423_65,1.999997071,NA
X88423_66,1.999994364,NA
X88423_67,1.999997071,NA
X88779_51,1.999999862,2
X88779_67,1.999439511,1.999840597
X89317_14,1.948308458,1
X89317_22,1.986820713,1
X89317_27,1.99999553,2
X89317_28,1.99999553,2
X89317_31,1.986820713,1.789473684
X89317_36,1.809159006,1.960170697
X89317_53,1.333333333,1.960170697
X90280_8,1.999749707,1.984273821
X90280_16,2,1.99999331
X91447_11,1.94711917,NA
X91447_12,1.999998914,NA
X91447_24,1.863589043,NA
X91447_29,2,NA
X91447_32,1.941859679,NA
X91447_33,1.941859679,NA
X91447_50,1.911865283,NA
X91447_53,1.997670611,NA
X91447_54,1.996434922,NA
X91447_65,1.750451671,NA
X91447_66,1.999996724,NA
X91750_6,1.999996298,NA
X91750_60,1.999962856,NA
X92182_39,1.988628137,NA
X92182_62,1.962839486,NA
X92778_25,1.978885884,NA
X92778_30,1.999979707,NA
X92778_44,1.600722674,NA
X93538_38,2,2
X93538_50,2,2
X93538_59,1.999721829,1.999996045
X93650_11,1.999999998,2
X93650_18,1.999955465,2
X94654_12,1.999713425,1.999999872
X94654_26,1.999713425,1.999999872
X94654_44,1.999999175,2
X94654_54,1.789704851,1
X94706_15,1.994437088,1.999965887
X94706_25,1.999984157,2
X94706_40,1.999999755,2
X95253_34,1.998157246,1.951740637
X95253_51,1.999999992,1.999999998
X95253_61,1.999999998,2
X95253_64,1.999999998,1.999999993
X95253_65,1.999243551,1.990692114
X95662_18,1,NA
X95793_8,1.845216859,NA
X95793_10,1.987445661,NA
X95793_11,1.987445661,NA
X95793_12,1.987445661,NA
X95793_36,1.999961259,NA
X95793_59,1.999989526,NA
X96940_60,1.548256092,NA
X96940_64,1.911865283,NA
X96940_65,1.612341772,NA
X96940_66,1.872807342,NA
X97236_6,1.999810024,2
X97236_27,1.999999175,2
X97236_52,1.999999994,1.999999999
X97236_53,1.718385012,1.999945289
X97236_54,1.718385012,1.999945289
X97728_65,1.961894618,NA
X97728_66,1.939201278,NA
X97728_68,1.939201278,NA
X97938_7,NA,1.999999971
X97938_8,NA,1.996062048
X97938_9,NA,1.893829401
X97938_18,NA,1.999999998
X97938_19,NA,2
X99241_25,1.827040034,NA
X99241_41,1.326086957,NA
X103682_33,1.823590332,1
X103682_40,1.999842241,1.999999891
X103682_52,1.999842241,1.999999891
X103682_67,1.999842241,1.999999891
X103924_21,1.960899479,1.918400258
X103924_34,1.960899479,1.918400258
X103924_59,1.94711917,1
X103924_65,1.964809806,1
X104235_33,1.99696435,NA
X104235_48,1.999998692,NA
X104235_50,1.999998692,NA
X104235_53,1.992266849,NA
X104235_61,1.99709524,NA
X104235_65,2,2
X104329_25,1.365853659,NA
X104509_39,NA,2
X104984_65,1.807511737,NA
X105903_5,1.858829625,1.999864798
X105903_6,1.858829625,1.999864798
X106658_68,1.612341772,NA
X106953_52,2,2
X107326_5,1.96355207,1.982779275
X107326_28,1.96355207,1.982779275
X107326_67,1.999998977,1.999999525
X107733_48,1.941859679,NA
X108655_7,1.644027589,NA
X108655_30,1.999999928,NA
X108655_33,1.99999553,NA
X108655_40,1.976648661,NA
X108655_63,1.999998913,NA
X108655_66,1.85379035,NA
X108701_18,1.999753799,2
X108701_20,1.999569149,1.884057971
X108701_21,1.999753799,2
X108701_30,1.999999995,1.999999953
X108701_31,1.999999995,1.999999953
X108701_55,1.999753799,1.988847014
X110008_34,1.999999998,NA
X110008_35,1.999999998,NA
X110008_58,1.998982389,NA
X110008_66,1.975424252,NA
X110084_33,1.995729454,NA
X110084_34,1.995729454,NA
X110084_54,1,NA
X110422_8,1.529605263,NA
X110422_22,1.999959386,NA
X110422_27,1.999811913,NA
X110422_42,1.529605263,NA
X110422_48,1.85379035,NA
X110422_60,1.529605263,NA
X110422_65,1.529605263,NA
X110422_68,1.529605263,NA
X110485_38,1.883970842,1.972979961
X110485_40,1.832017487,1.972979961
X110485_52,1.757907555,1.930316742
X110485_53,1.757907555,1.930316742
X111185_13,1.959431651,1.999995504
X111185_27,1.782864186,1.999223903
X111185_31,2,1.999999994
X111185_53,1.999999999,2
X111185_64,2,1.999999994
X111400_48,1.999999971,NA
X111400_52,1.999999949,NA
X111400_54,1.999999949,NA
X111552_25,1.999999996,NA
X111552_31,1.985904084,NA
X111552_66,1.999999985,NA
X111670_5,1.784068279,NA
X111670_24,1.636842105,NA
X111670_40,1.612341772,NA
X111670_42,1.600722674,NA
X111670_44,1.957154586,NA
X111670_46,1.918890782,NA
X111670_50,1.600722674,NA
X111670_60,1.999999791,NA
X111920_27,NA,1.999988321
X111920_67,NA,1.999932962
X112450_16,NA,1.997560837
X112450_50,NA,1.941836735
X112450_54,NA,1.997560837
X112450_60,NA,1.941836735
X112504_68,1.991332673,1
X112627_24,1.999703561,1.972979961
X112627_31,1.999903058,1.994788588
X112627_45,1.627363389,1
X112627_52,1.999484996,1.989867485
X112673_50,1.994265235,1
X113348_12,1.998579701,NA
X113348_28,1.998579701,NA
X113348_29,1.997371741,NA
X113408_54,1.445458496,1.959296469
X113408_55,1.966549986,1.992909113
X113408_56,1.999999998,1.999999999
X113408_57,1.99997567,1.998900189
X113527_36,2,NA
X113527_42,1.999932332,NA
X113527_48,1.925804283,NA
X113527_51,1.997670611,NA
X113527_57,1.999999517,NA
X113527_59,1.999864569,NA
X113767_46,2,NA
X114252_6,1.999999974,NA
X114252_31,1.999999972,NA
X114252_49,1.578659371,NA
X114546_30,1.889921958,NA
X114546_43,1.92078496,NA
X114546_55,1.999998084,NA
X114546_63,1.99999513,NA
X119889_53,1.977452127,1.982779275
X119889_57,1.267857143,1.906204906
X119889_60,1.950057334,1.999587571
X119889_66,1.925042818,1.992909113
X122273_34,1.920229954,1
X122273_36,1.999999985,2
X122273_38,1.999999985,2
X122273_47,1.999085599,1.754237288
X125960_39,1.982871449,NA
X128014_13,2,2
X128014_14,1.756202478,1.990692114
X128014_15,1.996853097,1.951740637
X128014_27,1.983978621,1
X128014_56,1.999809584,1.893829401
X128014_64,1.674936637,1.517241379
X128014_68,1.999868476,1.998378491
X128997_21,1.750451671,NA
X130443_46,2,1.999999993
X130476_27,2,2
X130476_54,2,2
X130476_66,2,2
X131020_15,1.998982389,NA
X131020_49,1.998982389,NA
X131020_52,1.998982389,NA
X133560_16,1.999999999,NA
X133560_40,1.999999988,NA
X133560_42,1.999999988,NA
X133560_55,1.978885884,NA
X133560_62,1.999902972,NA
X133560_63,1.999961259,NA
X133560_66,1.997508954,NA
X139452_9,1.999703561,NA
X139452_10,1.987305274,NA
X139452_19,1.999703561,NA
X139452_24,1.981260166,NA
X139452_34,1.999999528,NA
X139452_51,1.999538873,NA
X142113_63,1.999975808,NA
X156040_37,1.999999928,2
X156040_41,1.999999928,2
X156040_42,1.999999928,2
X156403_12,1.999999989,NA
X156403_17,1.999999989,NA
X170151_35,1.999982474,NA
X170168_30,1.991555036,1.999999906
X170216_68,2,2
X170218_60,1.907918418,1.992682512
X170230_31,1.644027589,NA
X170258_51,1.94711917,1.988847014
X170258_54,1.94711917,1.988847014
X170271_54,1.971451681,1.535714286
X170271_55,1.971451681,1.535714286
X170275_49,1.986175776,NA
X170275_65,1.986175776,NA
X170275_66,1.986175776,NA
X170278_43,1.375,1.881355932
X170278_66,1.845216859,1.5
X170293_13,2,2
X170293_16,2,2
X170293_17,1.558052434,1.999999953
X170293_24,1.979068192,2
X170293_35,1.99993991,1.99991044
X170293_57,1.999447686,2
X170293_67,1.999999999,2
X170296_21,1.25862069,1.963109354
X170296_23,1.452023988,1.988847014
X170296_50,1.998883391,1.999999999
X170296_57,1.999999349,2
X170296_61,1.841549541,1.999145067
X170296_67,2,2
X170297_23,1.880909574,1.999032198
X170297_68,1.843302071,1.754237288
X170300_15,1.730725916,1.951740637
X170300_66,1.999999968,2
X170312_10,1.99714046,2
X170312_68,1.99714046,2
X170324_66,1.999165958,1.5
X170326_13,2,NA
X170326_15,1.99122835,NA
X170326_38,1.696124558,NA
X170326_66,1.999388125,NA
X170331_7,1.890318071,NA
X170342_22,1.238095238,1.968880245
X170342_34,1.9763595,1.993155994
X170342_66,1.998698424,1
X170353_28,1.83553644,1
X170353_58,1.953684597,1
X170371_66,1.999999999,2
X170393_41,1.999991406,NA
X170393_66,1.999999984,NA
X170400_65,1.989229856,NA
X170400_66,1.999763843,NA
X170400_67,1.925111968,NA
X170400_68,1.999763843,NA
X170412_18,1.997538479,1.99997101
X170412_49,1.829548859,1.952821462
X170412_54,1.25,1.864361702
X170412_61,1.997626231,1.625
X170412_65,1.999960345,1.999884038
X170412_68,1.999968756,1.999884038
X170414_36,1.535548505,1.992909113
X170414_66,1.838151499,1.959296469
X170432_9,1.929925188,1
X170432_37,2,1.999999819
X170432_58,1.999852314,1.972979961
X170432_61,1.999852314,1.972979961
X170432_66,1.999999992,1.999999959
X170448_53,1.999952762,1.999999999
X170448_68,2,2
X170453_67,1.999980357,1.999948113
X170463_65,1.999921294,1.999989616
X170463_66,1.999933014,1.999998035
X170463_67,1.999933014,1.999989616
X170474_23,1.978044777,1
X170474_29,1.999998691,1.999587571
X170474_47,1.749719922,1
X170474_60,1.749719922,1.982779275
X170474_66,1.999999815,1.999999993
X170496_66,1.999998692,1.992909113
X170503_8,1.761441091,NA
X170507_66,1.999370952,1.986560042
X170511_68,1.999999987,1.999999998
X170512_61,1.803581036,NA
X170518_66,NA,1.973907226
X170518_68,NA,1.973907226
X170527_17,1.708716377,NA
X170527_63,1.729138167,NA
X170540_5,2,2
X170543_52,1.995729454,NA
X170543_65,1.636842105,NA
X170543_66,2,NA
X170543_68,1.636842105,NA
X170550_36,1.823590332,1.737704918
X170550_41,1.999999974,2
X170556_65,1.889930644,1
X170556_68,1.889930644,1
X170575_49,1.917447983,NA
X170602_67,1.999999553,2
X170606_58,1.995610899,1
X170606_66,1.998866454,1.996889088
X170608_28,1.999996156,1.999601493
X170608_66,1.999973709,2
X170610_27,1.641911443,1.868852459
X170610_66,2,2
X170615_9,1.999969382,1.996813433
X170615_16,1.415231299,1.994996216
X170615_66,1.99714046,1.999999953
X170621_10,1.999048439,1.959296469
X170621_23,1.999999998,1.999999965
X170621_40,1.999048439,1.959296469
X170621_57,1.99976735,1.966400106
X170621_68,1.99976735,1.966400106
X170626_48,1.999982474,1.996889088
X170634_44,1.581683521,NA
X170664_18,1.25862069,1.998617372
X170664_68,1.977769518,1.985259063
X170681_11,1.999999258,1.978551394
X170681_40,1.999999258,1.978551394
X170681_45,1,1.978551394
X170681_66,1.999999258,1.990692114
X170698_12,1.48787062,NA
X170698_49,1.925312742,NA
X170702_27,1.903331734,1.771324864
X170720_66,1.999997957,1.999999993
X170725_66,1,1
X170728_23,1.999999998,1.999999994
X170728_27,1.994890941,1.963109354
X170728_40,1.948308458,1.999999994
X170728_41,1.948308458,1.999989616
X170728_63,1.875731446,1.652173913
X170728_65,1.994890941,1.988847014
X170728_67,1.998838447,1.999999994
X170748_36,1.999955465,1.999999973
X170748_68,1.981238553,1.999997084
X170751_67,1.995618661,1.999601493
X170769_65,1.999979407,1.978551394
X170769_66,1.999843503,1.978551394
X170775_52,1.348837209,1.893829401
X170805_66,1.975424252,NA
X170815_68,1.67049758,NA
X170823_67,1.999885516,1.998900189
X170824_67,2,2
X170834_30,1.541717824,1.906204906
X170834_68,1.996428761,1
X170836_60,1.999999501,1.999948113
X170836_68,1.999713425,1.999999993
X170840_17,1.805919275,1.771324864
X170840_63,1.953956175,1.771324864
X170847_29,1.999685165,NA
X170873_54,1.939679874,1.959296469
X170873_66,1.999999982,2
X170884_13,1.357142857,NA
X170887_13,1.988924369,1
X170887_67,1.97978811,1.968880245
X170924_40,1.937476261,NA
X170956_35,NA,1.959296469
X170965_32,1.978285533,1.968880245
X170965_36,1.648295074,1.868852459
X170965_67,1.999999877,1.99999392
X170971_34,1.648295074,1.517241379
X170971_68,1.999996602,2
X170973_10,1.999969382,2
X170973_66,1.999969382,2
X170974_59,1.679731243,1.996813433
X170980_66,1.988348088,NA
X170999_65,1.340909091,1.999965887
X171002_65,1.962839486,NA
X171003_67,1.838151499,1.881355932
X171011_68,1.999999964,NA
X171067_69,1.649759348,NA
X171068_68,1.999996811,1.994728732
X171069_27,1.999986508,1.999850824
X171069_43,1.982741185,1.535714286
X171086_16,1.791645912,1
X171086_21,1.818057456,1.884057971
X171086_42,1.978885884,NA
X171086_61,1.979068192,1.992626205
X171086_67,1.999749707,1.992626205
X171121_46,1.999998837,1.999999999
X171121_68,1.998022323,1.999786267
X171136_52,1.92924789,1.6
X171142_66,1.999998691,NA
X171147_52,1.930941007,NA
X171147_68,1.992885952,NA
X171161_66,1.987820605,NA
X171164_36,1.919590935,NA
X171164_53,1.999753799,NA
X171169_37,1.99879972,1.997560837
X171169_67,1.999965435,1.999999993
X171183_18,1.983978621,1
X171183_34,1.898887141,1.999997748
X171183_42,1.999926509,1.941836735
X171183_67,1.999926509,1.941836735
X171237_7,1.948308458,NA
X171260_13,1.98728688,1.788961039
X171269_66,1.999667785,NA
X171290_15,2,1.999999975
X171290_23,2,1.999999975
X171290_67,1.998269624,1.996889088
X171303_19,1.999999218,NA
X171311_50,1.952637349,NA
X171311_68,1.960899479,1.884057971
X171314_18,1.858829625,1.918400258
X171314_46,1.965762284,1.999994497
X171314_66,1.999999991,2
X171359_10,1.968557344,NA
X171359_45,1.999998914,NA
X171360_57,1.789704851,2
X171360_67,1.789704851,2
X171361_13,1.995610899,1.999351396
X171361_15,1.903331734,1.973907226
X171361_27,1.999987109,1.999601493
X171361_29,1.903331734,1.973907226
X171361_57,1.988348088,1.5
X171361_68,1.996853097,1.994728732
X171363_8,1.999900016,1.999999999
X171363_51,1.90017168,1.999884038
X171379_47,1.762759412,NA
X171379_68,1.823590332,NA
X171394_48,1.970012379,1.988847014
X171394_66,1.999999815,1.999765366
X171403_68,1.999499268,1.951740637
X171410_66,1.999999875,NA
X171410_67,1.991035583,NA
X171411_16,NA,1.994728732
X171411_68,NA,2
X171413_13,1.848467182,1.985259063
X171422_27,1.596228202,1.788961039
X171439_65,1.999997423,1.999999028
X171439_68,1.999997423,1.999999028
X171440_28,1.941859679,NA
X171441_20,1.635600249,NA
X171441_26,1.635600249,NA
X171441_67,2,NA
X171441_68,2,NA
X171452_67,1.864020638,NA
X171464_8,1.891202286,NA
X171486_23,1.774550976,NA
X171486_54,1.800352879,NA
X171502_13,1.774550976,NA
X171513_67,1.999994467,1.994996216
X171551_21,1.644027589,1.535714286
X171551_36,2,1.999999525
X171551_68,2,1.999999525
X171555_10,1.945737832,1.999997801
X171555_24,1.982549002,1.998617372
X171574_7,1.999991549,NA
X171588_35,1.990803553,NA
X171599_46,1.404233171,1.994728732
X171599_66,1.999999992,1.999601493
X171602_68,1.994802008,NA
X171638_31,1.238095238,1.893829401
X171638_37,1.921261474,1.978551394
X171638_66,1.993252988,1.771324864
X171647_64,1.964154952,1.998617372
X171656_34,1.409660107,1.737704918
X171656_68,1.999997423,1.968880245
X171691_24,1,1.941836735
X171691_34,1.999949176,NA
X171691_41,1.895059945,1.625
X171691_58,1.999938045,NA
X171694_61,1.863589043,1
X171709_38,1.832017487,1.517241379
X171709_67,1.999085599,1.999905688
X171744_55,1.989845924,NA
X171744_68,1.999999999,NA
X171751_66,1.999999065,NA
X171757_38,1.227272727,1.754237288
X171757_58,1.978285533,1.754237288
X171757_66,1.999809528,1.999976822
X171793_16,1.67049758,1.941836735
X171793_25,1.986317469,1.999999782
X171793_28,1.999999966,1.999999999
X171793_47,1.520723753,1.864361702
X171793_54,1.679731243,1.952821462
X171793_55,1.679731243,1.952821462
X171812_9,1.718816068,NA
X171812_18,1.818057456,NA
X171819_10,1.999996724,NA
X171819_14,1.999999995,NA
X171819_19,1.983906218,NA
X171819_44,1.85438612,NA
X171819_45,1.85438612,NA
X171824_27,1.999999998,2
X171824_47,1.998311899,1.992909113
X171824_59,1.999988865,1.999587571
X171824_66,1.989845924,1.997163645
X171836_66,1.882019874,NA
X171836_67,1.882019874,NA
X171843_22,1.990266613,1.935537649
X171843_59,1.999999385,1.999895474
X171843_60,2,1.999997801
X171843_67,2,1.999997801
X171870_26,1.999999852,1.999905688
X171870_50,1.999999599,1.999999993
X171870_66,1.999999599,1.999999993
X171871_28,1,1.771324864
X171871_55,1.999932233,1.893829401
X171877_65,1.729138167,NA
X171891_33,1.404233171,1.807127883
X171891_37,1.951266251,1.972979961
X171891_45,1.999999458,1.999932962
X171891_66,1.999955465,2
X171892_26,1.99999979,1.999786267
X171906_17,1,1.881355932
X171906_62,1.96355207,2
X171910_68,1.999563424,1.999958189
X171931_66,1.988348088,1.771324864
X171940_48,1.999872513,NA
X171940_68,1.979541615,NA
X171947_67,1.999973709,2
X171948_16,1.990722859,1.868852459
X171948_37,1.991555036,1.737704918
X171948_68,1.999923841,1.881355932
X171955_68,1.989845924,1.483870968
X171968_21,1.67049758,NA
X171992_62,1.800105644,1.737704918
X171998_43,1.962199524,NA
X171998_69,1.99997778,NA
X172009_66,1.999979407,1.988139648
X172009_68,1.999999983,2
X172012_30,1.529605263,NA
X172012_66,1.999999966,NA
X172014_35,1.889930644,1.935537649
X172049_10,1.589500861,NA
X172055_32,1.999987427,NA
X172055_67,1.999987427,NA
X172061_15,1.739683473,NA
X172061_39,1.729138167,NA
X172082_11,1.415231299,1.868852459
X172082_13,2,1.999999919
X172082_14,1.74331259,1.483870968
X172082_66,2,1.999999919
X172108_61,1,1.868852459
X172145_6,1.880909574,1.999958189
X172163_28,1.94145084,1.999999745
X172166_58,1.998708316,1.999998035
X172166_68,1.998449515,1.999950677
X172167_67,1.999999915,2
X172172_13,1.999999995,1.99974615
X172172_68,1.917447983,1.998617372
X172182_25,2,NA
X172183_28,1.636842105,NA
X172184_19,1.999625234,1.999999745
X172184_48,1.9994773,1.999999919
X172196_19,2,NA
X172203_67,1.998934431,1.943800178
X172208_66,1.884763303,1.998617372
X172229_55,1.800352879,NA
X172229_67,1.689176688,NA
X172229_68,1.689176688,NA
X172239_68,2,2
X172243_33,1.932458636,1.986560042
X172243_36,1.874404423,1.555555556
X172243_55,2,2
X172243_68,1.999721829,1.999997748
X172260_19,1.9994773,1.999999396
X172273_66,2,2
X172285_29,1.612341772,NA
X172285_67,2,NA
X172286_25,1.999952869,NA
X172286_33,1.718385012,NA
X172286_68,1.999943658,NA
X172302_8,1.548256092,NA
X172339_11,1.999999992,1.999997801
X172339_66,1.999999867,2
X172343_68,1.999016765,NA
X172344_15,1.558052434,NA
X172344_19,1.999902972,NA
X172344_25,1,NA
X172344_26,1.568181818,NA
X172351_27,1.996222927,2
X172351_66,1.67049758,1.788961039
X172351_68,1.999999998,2
X172357_12,1.960237499,1.999938191
X172358_18,1,NA
X172358_54,1.612341772,NA
X172366_67,1.999999615,1.881355932
X172377_31,2,1.999999993
X172377_35,1.999999994,1.999918044
X172389_67,1.890008203,NA
X172412_45,2,NA
X172412_57,1.999997981,NA
X172426_61,1.999999975,2
X172429_7,1.588874402,1.978962223
X172444_63,1.977769518,1.998617372
X172454_26,1.554461942,1.737704918
X172462_41,1.976732003,1.868852459
X172464_25,1.999458433,NA
X172464_26,1.999458433,NA
X172474_13,1.326086957,NA
X172474_23,1.612341772,NA
X172474_35,1.612341772,NA
X172474_38,1.999378149,NA
X172476_29,1.905815945,1
X172476_34,1.641911443,1
X172476_42,1.997077642,1.998378491
X172480_16,1.99976735,1.881355932
X172481_59,1.999964175,2
X172488_65,1.54802102,1.737704918
X172490_14,1,1.973907226
X172490_52,1.541717824,1.881355932
X172493_5,1.861097275,NA
X172494_5,1.999999458,1.999998742
X172494_8,2,2
X172497_52,1.999018649,1.999973923
X172502_66,1.8657725,NA
X172505_38,1.907748381,1.951740637
X172505_58,1.907748381,1.951740637
X172510_64,1.990266613,1.737704918
X172514_34,1.869213522,1.985259063
X172514_50,1.432868175,1.737704918
X172517_5,1.54802102,1.844897959
X172518_28,1.999563424,1.990692114
X172526_33,1.998883391,NA
X172526_65,1.611442611,NA
X172535_8,1.999999977,1.999999993
X172537_58,1.996984654,1.998617372
X172543_23,1.997538479,NA
X172543_49,1.978044777,NA
X172556_38,1.688944157,1.535714286
X172556_44,1.999999477,1.959296469
X172556_46,1.986497706,1.999999968
X172556_48,1.77609178,1.535714286
X172556_53,1.688944157,1.788961039
X172556_54,1.581683521,1.535714286
X172556_59,1.999048439,1.999948113
X172556_68,1.999999477,1.959296469
X172561_38,1.805919275,1
X172561_67,1.951266251,1.986560042
X172562_40,1.769389633,1.737704918
X172563_60,1.970966049,1.999999028
X172567_5,1.999999959,2
X172567_57,1.999999974,2
X172573_46,1.538778312,1.884057971
X172573_56,1.999982868,2
X172578_40,1.999999984,1.999999872
X172582_46,1.426829268,1.881355932
X172586_14,2,1.999992116
X172592_57,1.970033857,NA
X172598_48,1.99997338,1.999351396
X172605_43,2,1.999999993
X172605_51,2,1.999999999
X172607_31,1.77609178,1.483870968
X172608_60,1.789704851,1.737704918
X172608_63,1.943204311,1.993155994
X172612_20,1.999073879,1.999223903
X172612_30,1.999999999,1.999884038
X172612_38,1.994005644,1
X172612_54,1.404233171,1.994996216
X172612_60,1.999999575,1.999884038
X172615_8,1.999985737,1.999997801
X172615_16,1.736981111,1.737704918
X172625_40,1.928420119,NA
X172637_15,1.811772834,1
X172638_8,2,NA
X172639_61,1.841549541,1.5
X172643_18,2,2
X172643_19,2,2
X172643_63,2,2
X172647_65,1.999989231,1.998617372
X172649_51,1.880909574,1.951740637
X172650_5,1.905815945,1.966400106
X172653_49,1.996033943,1.99999392
X172655_50,1.929925188,1.999574589
X172658_17,1,1.952821462
X172658_58,1,1.952821462
X172658_61,1.99999852,2
X172661_37,1.999989231,1.999840597
X172666_12,1.998329557,NA
X172666_17,1.998329557,NA
X172667_41,1.99960015,1.999999971
X172675_14,1.999999754,2
X172678_59,1.974020561,NA
X172679_67,1,1.968880245
X172681_17,1.997948501,NA
X172682_30,1.999999599,1.999983788
X172682_60,1.956592059,1.999895474
X172682_61,1.999809815,1.99999392
X172682_66,1.992086562,1.737704918
X172691_6,2,2
X172703_58,1.999606263,NA
X172710_60,1.985266234,1.998617372
X172716_35,1.674936637,1.968880245
X172717_14,1.982549002,1
X172717_51,1.999980357,1.999765366
X172718_14,1.241935484,1.941836735
X172718_25,1.999991406,1.844897959
X172721_12,1.81769607,NA
X172721_34,1.999996589,NA
X172726_9,1.654787708,1.868852459
X172736_26,1.993122679,NA
X172736_39,1.875731446,NA
X172736_44,1.689176688,NA
X172736_63,1.774550976,NA
X172736_68,1.999999998,NA
X172745_46,1.420952381,1.99804572
X172747_10,1.877914172,NA
X172747_40,1.999999898,NA
X172747_57,1.99998197,NA
X172752_5,1.432868175,1.483870968
X172755_46,1.838151499,1
X172763_34,1.999999997,2
X172764_33,1.458779693,1.807127883
X172775_39,1.999504086,NA
X172776_38,1.574651131,1.996335048
X172784_9,1.994575018,1.943800178
X172799_51,1.999994467,NA
X172799_52,1.689176688,NA
X172802_42,1.994005644,1.999998742
X172805_68,1.991762946,NA
X172814_58,1.894418795,NA
X172820_29,1.999991549,1.999932962
X172824_21,1,1.973907226
X172829_67,1.800105644,NA
