,JPA_SP,JPA_AM,JTR_TC-II,JTR_GI,JTR_NI
X70646_11,1,1.196136894,NA,NA,NA
X71855_15,1.599331104,1.217375566,NA,NA,NA
X71855_22,1.832374582,1.751001939,NA,NA,NA
X71855_35,1.289230769,1.217375566,NA,NA,NA
X72023_56,1,1.419018892,NA,NA,NA
X72023_64,1.125,1.298016833,NA,NA,NA
X73633_24,NA,NA,1,1.45,1
X73633_33,NA,NA,1,1.45,1
X73699_65,1.801944972,1.79463997,1.80861244,1.727472527,1.2
X73699_67,1.801944972,1.782103787,1.80861244,1.607142857,1.2
X73699_68,1.801944972,1.802801905,1.80861244,1.727472527,1.2
X75189_28,1,1.184135378,NA,NA,NA
X75413_20,1.153846154,1.168648735,1.2,1,1
X75413_37,1.790635452,1.773632864,1.50877193,1.785714286,1.25
X75413_59,1.407692308,1.580333626,1.553921569,1.785714286,1
X75413_63,1.886622074,1.886107922,1.908496732,1.971428571,1.727472527
X75757_28,1.47012987,1.388557753,NA,NA,NA
X75757_29,1.673957621,1.67781373,NA,NA,NA
X75757_33,1.47012987,1.388557753,NA,NA,NA
X75757_35,1.47012987,1.388557753,NA,NA,NA
X75757_52,1.181818182,1.432958976,NA,NA,NA
X75917_24,1,1.388557753,NA,NA,NA
X75917_48,1.166666667,1.246791145,NA,NA,NA
X75917_61,1.153846154,1.239446441,NA,NA,NA
X76245_36,1.851501669,1.822470121,1.905882353,1.790299278,1.624148607
X76245_37,1.237903226,1.433791254,1.717234262,1.717234262,1.624148607
X76245_56,1.887068966,1.669234527,1,1,1.790299278
X77225_8,1.153846154,1.341564413,NA,NA,NA
X77225_42,1.906832298,1.717881202,NA,NA,NA
X77264_29,1,1.283682418,NA,NA,NA
X77264_30,1,1.341564413,NA,NA,NA
X77264_59,1.583843159,1.421822669,NA,NA,NA
X77279_25,1.873943419,1.847469092,1.909774436,1.911538462,1.903622693
X77279_26,1.88698896,1.877519322,1.909774436,1.911538462,1.903622693
X77279_67,1.766344661,1.687434663,1.47012987,1.727472527,1.47012987
X77901_6,1.853588517,1.586898105,NA,NA,NA
X77901_50,1,1.180316051,NA,NA,NA
X77901_59,1.26984127,1.475495409,NA,NA,NA
X78039_40,1.133333333,1.078787879,1.181818182,1,1
X78039_52,1.133333333,1.348315896,1.337662338,1.50877193,1.337662338
X78039_63,1.359605911,1.530758883,1.673957621,1.624148607,1.673957621
X78039_68,1.359605911,1.530758883,1.673957621,1.624148607,1.673957621
X78149_62,1.50877193,1.33223005,NA,NA,NA
X78149_66,1.913312693,1.886075332,NA,NA,NA
X78149_68,1.717234262,1.846401509,NA,NA,NA
X78258_9,1.181818182,1.189947399,NA,NA,NA
X78258_24,1.2,1.064516129,NA,NA,NA
X78258_47,1,1.189947399,1,1,1
X78576_10,1.642002442,1.533814735,1.717234262,1,1.47012987
X78576_13,1.642002442,1.533814735,1.717234262,1,1.47012987
X78576_14,1.642002442,1.533814735,1.717234262,1,1.47012987
X78576_20,1,1.260720777,1.50877193,1,1
X78592_14,1,1.208404047,NA,NA,NA
X78592_39,1,1.159691482,NA,NA,NA
X78592_64,1,1.108763693,NA,NA,NA
X80835_56,NA,NA,1.883384933,1.815934066,1.67254902
X80835_61,NA,NA,1.845201238,1.815934066,1.67254902
X80835_63,NA,NA,1.845201238,1.876373626,1.67254902
X80961_14,1.831593928,1.73472551,1.853588517,1.909774436,1.913312693
X80961_18,1.831593928,1.73472551,1.853588517,1.909774436,1.913312693
X80961_31,1.620816802,1.839133592,1.337662338,1.885030759,1.845201238
X80961_46,1.894773159,1.698215041,1.80861244,1.337662338,1.50877193
X81524_39,1.898412698,1.822179218,NA,NA,NA
X81729_14,1.142857143,1.199334252,NA,NA,NA
X81729_36,1.898412698,1.866325343,NA,NA,NA
X81775_6,1.724512679,1.745488202,1.436758893,1.815934066,1.337662338
X81775_34,1.724512679,1.745488202,1.436758893,1.815934066,1.337662338
X81861_36,1.864214047,1.871914885,1,1,1.25
X81861_60,1.864214047,1.871914885,1,1,1.25
X81861_66,1.867643468,1.87231926,NA,NA,NA
X83971_13,1.898412698,1.883010639,1.845201238,1.911538462,1.909774436
X83971_31,1.252873563,1.24866464,1.181818182,1,1
X83971_59,1,1.333827847,1.50877193,1.505494505,1.905882353
X83971_63,1,1.341872491,1.50877193,1.505494505,1.624148607
X83971_66,1.252873563,1.775118066,1.673957621,1.727472527,1.181818182
X84285_29,1.837535014,1.852335686,1.181818182,1.405228758,1.2
X84285_34,1.779645191,1.76211905,1,1.405228758,1
X84285_53,1.465749936,1.530758883,1,1,1
X85049_53,1.166666667,1.138961039,NA,NA,NA
X85061_5,NA,NA,1.553921569,1.880718954,1.876373626
X85061_39,NA,NA,1.553921569,1.764705882,1.45
X85061_58,NA,NA,1.67254902,1.917647059,1.911538462
X86664_32,1.2,1.057142857,1.222222222,1,1.285714286
X86664_43,1.886034256,1.885758686,1,1,1
X86826_22,1,1.514032508,1,1,1
X86826_25,1,1.514032508,1,1,1
X86826_28,1,1.514032508,1,1,1
X86826_29,1.642002442,1.720561409,1.710615471,1.971428571,1.908496732
X86826_40,1.832374582,1.555133546,1.772727273,1.785714286,1.405228758
X86826_46,1.832374582,1.555133546,1.772727273,1.785714286,1.405228758
X86826_64,1.26984127,1,1,1.5,1.405228758
X87193_30,1.321524064,1.39385036,NA,NA,NA
X87193_59,1.730523627,1.514751101,NA,NA,NA
X87193_60,1.750250278,1.514751101,NA,NA,NA
X87863_59,1.409047783,1.188801072,NA,NA,NA
X87863_67,1.558176643,1.365182486,NA,NA,NA
X87863_68,1.558176643,1.357158631,NA,NA,NA
X87940_5,1.153846154,1.093516925,NA,NA,NA
X88423_5,1.846524357,1.872687439,NA,NA,NA
X88423_58,1.815544609,1.839133592,NA,NA,NA
X88423_65,1.846524357,1.73472551,NA,NA,NA
X88423_66,1.804542125,1.73472551,NA,NA,NA
X88423_67,1.846524357,1.73472551,NA,NA,NA
X88779_51,1.750250278,1.851446833,1.885030759,1.908496732,1.909774436
X88779_67,1.702558398,1.504377716,1.47012987,1.405228758,1.749145591
X89317_14,1,1.430707987,1,1,1
X89317_22,1.581544771,1.307018797,1,1,1
X89317_27,1.749145591,1.723222397,1.405228758,1.915084915,1.919191919
X89317_28,1.749145591,1.723222397,1.405228758,1.915084915,1.919191919
X89317_31,1,1.467937986,1.222222222,1,1
X89317_36,1,1.213954706,1,1.789210789,1
X89317_53,1,1.057142857,1,1.505494505,1
X90280_8,1.47012987,1.663301445,1.607142857,1.25,1
X90280_16,1.909774436,1.866683072,1.815934066,1.607142857,1.45
X91447_11,1.311594203,1.246791145,NA,NA,NA
X91447_12,1.710615471,1.746222331,NA,NA,NA
X91447_24,1.311594203,1.254597308,NA,NA,NA
X91447_29,1.903622693,1.880162052,NA,NA,NA
X91447_32,1,1.341564413,NA,NA,NA
X91447_33,1,1.341564413,NA,NA,NA
X91447_50,1.311594203,1.189947399,NA,NA,NA
X91447_53,1.543948805,1.423041738,NA,NA,NA
X91447_54,1.543948805,1.399427851,NA,NA,NA
X91447_65,1.166666667,1.125859334,NA,NA,NA
X91447_66,1.822134387,1.717881202,NA,NA,NA
X91750_6,1.859683794,1.700223183,NA,NA,NA
X91750_60,1.859683794,1.603267265,NA,NA,NA
X92182_39,1.125,1.503262642,NA,NA,NA
X92182_62,1.125,1.391517022,NA,NA,NA
X92778_25,1.368421053,1.421822669,NA,NA,NA
X92778_30,1.790299278,1.690891692,NA,NA,NA
X92778_44,1,1.12202381,NA,NA,NA
X93538_38,1.887064404,1.881897237,1.859683794,1.905882353,1.790299278
X93538_50,1.887064404,1.880082251,1.859683794,1.905882353,1.790299278
X93538_59,1.611713191,1.618223694,1.772727273,1.717234262,1.50877193
X93650_11,1.801944972,1.87987919,1.885030759,1.911538462,1.908496732
X93650_18,1.558176643,1.719489398,1.80861244,1.815934066,1.869130869
X94654_12,1.511818687,1.678357754,1.845201238,1.368421053,1.845201238
X94654_26,1.511818687,1.678357754,1.845201238,1.368421053,1.845201238
X94654_44,1.750250278,1.814134788,1.790299278,1.845201238,1.883384933
X94654_54,1.237903226,1.131697893,1,1,1
X94706_15,1.339516129,1.49750273,1.772727273,1.45,1.50877193
X94706_25,1.647246941,1.730082694,1.859683794,1.876373626,1.845201238
X94706_40,1.846524357,1.79463997,1.886034256,1.67032967,1.845201238
X95253_34,1.45444262,1.536735395,1.337662338,1.405228758,1
X95253_51,1.730523627,1.875709892,1.909774436,1.880718954,1.624148607
X95253_61,1.89706258,1.810435219,1.885030759,1.908496732,1.624148607
X95253_64,1.846524357,1.869837976,1.885030759,1.908496732,1.624148607
X95253_65,1.359605911,1.626543934,1.581544771,1.405228758,1
X95662_18,1,1.13430127,NA,NA,NA
X95793_8,1,1.239446441,NA,NA,NA
X95793_10,1.624148607,1.291891117,NA,NA,NA
X95793_11,1.624148607,1.291891117,NA,NA,NA
X95793_12,1.624148607,1.291891117,NA,NA,NA
X95793_36,1.368421053,1.728643261,NA,NA,NA
X95793_59,1.368421053,1.771825507,NA,NA,NA
X96940_60,1.142857143,1.060606061,NA,NA,NA
X96940_64,1.436758893,1.13430127,NA,NA,NA
X96940_65,1.166666667,1.068965517,NA,NA,NA
X96940_66,1.337662338,1.138961039,NA,NA,NA
X97236_6,1.647246941,1.678357754,1.745454545,1.845201238,1.285714286
X97236_27,1.824388209,1.802801905,1.745454545,1.845201238,1.67032967
X97236_52,1.790739711,1.877273723,1.856565657,1.368421053,1.789210789
X97236_53,1.125,1.134649209,1.333333333,1.845201238,1
X97236_54,1.125,1.134649209,1.333333333,1.845201238,1
X97728_65,1.311594203,1.372934194,NA,NA,NA
X97728_66,1.311594203,1.330022672,NA,NA,NA
X97728_68,1.311594203,1.330022672,NA,NA,NA
X97938_7,NA,NA,1.885030759,1.67032967,1.749145591
X97938_8,NA,NA,1.581544771,1.285714286,1.337662338
X97938_9,NA,NA,1.181818182,1,1.337662338
X97938_18,NA,NA,1.885030759,1.869130869,1.749145591
X97938_19,NA,NA,1.909774436,1.869130869,1.749145591
X99241_25,1.337662338,1.213954706,NA,NA,NA
X99241_41,1,1.103157895,NA,NA,NA
X103682_33,1,1.303615575,1,1,1
X103682_40,1.558176643,1.641116694,1.790299278,1.764705882,1.80861244
X103682_52,1.558176643,1.641116694,1.790299278,1.764705882,1.80861244
X103682_67,1.558176643,1.641116694,1.790299278,1.764705882,1.80861244
X103924_21,1.47012987,1.239446441,1.337662338,1.333333333,1
X103924_34,1.47012987,1.239446441,1.337662338,1.333333333,1
X103924_59,1.166666667,1.319597593,1,1,1
X103924_65,1.166666667,1.361868621,1,1,1
X104235_33,1.510635452,1.444676859,NA,NA,NA
X104235_48,1.790635452,1.731892427,NA,NA,NA
X104235_50,1.790635452,1.731892427,NA,NA,NA
X104235_53,1.436758893,1.384681788,NA,NA,NA
X104235_61,1.624148607,1.399427851,NA,NA,NA
X104235_65,1.89993311,1.866683072,1.885030759,1.575757576,1.915084915
X104329_25,1,1.173513986,NA,NA,NA
X104509_39,NA,NA,1.869130869,1.666666667,1.745454545
X104984_65,1.142857143,1.161347518,NA,NA,NA
X105903_5,1.22459893,1.188123609,1.50877193,1.789210789,1.405228758
X105903_6,1.22459893,1.188123609,1.50877193,1.789210789,1.405228758
X106658_68,1,1.111801242,NA,NA,NA
X106953_52,1.911538462,1.839439954,1.913312693,1.923809524,1.880718954
X107326_5,1.573257468,1.264993859,1,1.607142857,1.50877193
X107326_28,1.573257468,1.264993859,1,1.607142857,1.50877193
X107326_67,1.861545756,1.766964355,1.853588517,1.607142857,1.717234262
X107733_48,1.311594203,1.246791145,NA,NA,NA
X108655_7,1.26984127,1.140966576,NA,NA,NA
X108655_30,1.859683794,1.808842729,NA,NA,NA
X108655_33,1.624148607,1.729503693,NA,NA,NA
X108655_40,1.673957621,1.285325123,NA,NA,NA
X108655_63,1.673957621,1.795358444,NA,NA,NA
X108655_66,1.311594203,1.236949016,NA,NA,NA
X108701_18,1.50877193,1.67803838,1.917647059,1.939393939,1.883384933
X108701_20,1.50877193,1.598328053,1,1.333333333,1.2
X108701_21,1.50877193,1.67803838,1.917647059,1.939393939,1.883384933
X108701_30,1.883384933,1.76239264,1.553921569,1.919191919,1.790299278
X108701_31,1.883384933,1.76239264,1.553921569,1.919191919,1.790299278
X108701_55,1.845201238,1.467937986,1.222222222,1.856565657,1.2
X110008_34,1.730523627,1.883754703,NA,NA,NA
X110008_35,1.730523627,1.883754703,NA,NA,NA
X110008_58,1.45444262,1.571058688,NA,NA,NA
X110008_66,1,1.444292934,NA,NA,NA
X110084_33,1.368421053,1.527289879,NA,NA,NA
X110084_34,1.368421053,1.527289879,NA,NA,NA
X110084_54,1,1.129943503,NA,NA,NA
X110422_8,1,1.098101266,NA,NA,NA
X110422_22,1.883384933,1.453185422,NA,NA,NA
X110422_27,1.2,1.708449146,NA,NA,NA
X110422_42,1,1.098101266,NA,NA,NA
X110422_48,1,1.272473729,NA,NA,NA
X110422_60,1,1.098101266,NA,NA,NA
X110422_65,1,1.098101266,NA,NA,NA
X110422_68,1,1.098101266,NA,NA,NA
X110485_38,1.407692308,1.144352483,1.405228758,1,1.368421053
X110485_40,1.407692308,1.098101266,1.405228758,1,1.368421053
X110485_52,1.510635452,1,1.405228758,1.222222222,1
X110485_53,1.510635452,1,1.405228758,1.222222222,1
X111185_13,1.382173382,1.348828854,1.749145591,1.624148607,1.285714286
X111185_27,1.142857143,1.165439641,1.47012987,1.624148607,1
X111185_31,1.886935287,1.860399298,1.80861244,1.624148607,1.919191919
X111185_53,1.75995116,1.883008309,1.845201238,1.624148607,1.93006993
X111185_64,1.886935287,1.860399298,1.80861244,1.624148607,1.919191919
X111400_48,1.902222222,1.785446009,NA,NA,NA
X111400_52,1.902222222,1.775118066,NA,NA,NA
X111400_54,1.902222222,1.775118066,NA,NA,NA
X111552_25,1.853588517,1.84814588,NA,NA,NA
X111552_31,1.382173382,1.385575817,NA,NA,NA
X111552_66,1.864214047,1.834812906,NA,NA,NA
X111670_5,1,1.202741703,NA,NA,NA
X111670_24,1,1.143955276,NA,NA,NA
X111670_40,1,1.13430127,NA,NA,NA
X111670_42,1.153846154,1.066666667,NA,NA,NA
X111670_44,1,1.361868621,NA,NA,NA
X111670_46,1.337662338,1.189947399,NA,NA,NA
X111670_50,1,1.129943503,NA,NA,NA
X111670_60,1.80861244,1.755698022,NA,NA,NA
X111920_27,NA,NA,1.624148607,1.553921569,1.876373626
X111920_67,NA,NA,1.624148607,1.553921569,1.789210789
X112450_16,NA,NA,1,1.505494505,1.727472527
X112450_50,NA,NA,1,1.285714286,1.45
X112450_54,NA,NA,1,1.505494505,1.727472527
X112450_60,NA,NA,1,1.285714286,1.45
X112504_68,1.510635452,1.359160594,1,1,1
X112627_24,1.676125582,1.603267265,1,1.2,1.607142857
X112627_31,1.766344661,1.618499971,1.2,1.2,1.67254902
X112627_45,1.321524064,1.100566101,1,1,1
X112627_52,1.487752286,1.601523917,1,1.222222222,1.624148607
X112673_50,1.339516129,1.462425294,1,1,1
X113348_12,1.538222952,1.49009324,NA,NA,NA
X113348_28,1.538222952,1.49009324,NA,NA,NA
X113348_29,1.382173382,1.50193114,NA,NA,NA
X113408_54,1,1.093516925,1.337662338,1,1.368421053
X113408_55,1.487752286,1.260720777,1.581544771,1,1.368421053
X113408_56,1.894773159,1.855467508,1.909774436,1.727472527,1.717234262
X113408_57,1.620816802,1.73472551,1.47012987,1.553921569,1.368421053
X113527_36,1.886034256,1.884682404,NA,NA,NA
X113527_42,1.543948805,1.731892427,NA,NA,NA
X113527_48,1.181818182,1.30980272,NA,NA,NA
X113527_51,1.634763787,1.372934194,NA,NA,NA
X113527_57,1.822134387,1.720561409,NA,NA,NA
X113527_59,1.710615471,1.551434538,NA,NA,NA
X113767_46,1.870279146,1.882148096,NA,NA,NA
X114252_6,1.887064404,1.677518806,NA,NA,NA
X114252_31,1.898412698,1.707855469,NA,NA,NA
X114252_49,1.252873563,1,NA,NA,NA
X114546_30,1.359605911,1.17255874,NA,NA,NA
X114546_43,1.252873563,1.249932458,NA,NA,NA
X114546_55,1.730523627,1.802801905,NA,NA,NA
X114546_63,1.730523627,1.79463997,NA,NA,NA
X119889_53,1.487752286,1.285325123,1.543948805,1,1.25
X119889_57,1,1.05,1.311594203,1,1.25
X119889_60,1.117647059,1.357158631,1.634763787,1.50877193,1.25
X119889_66,1.117647059,1.311786315,1.436758893,1.50877193,1
X122273_34,1.567277167,1.147904727,1,1,1
X122273_36,1.867643468,1.834812906,1.710615471,1.869130869,1.885030759
X122273_38,1.867643468,1.834812906,1.710615471,1.869130869,1.885030759
X122273_47,1.480976801,1.581450129,1.311594203,1,1
X125960_39,1.558176643,1.285325123,NA,NA,NA
X128014_13,1.824388209,1.882852292,1.822134387,1.67032967,1.903622693
X128014_14,1.237903226,1.121080627,1,1.789210789,1.581544771
X128014_15,1.511818687,1.473184205,1.543948805,1,1
X128014_27,1.125,1.446611338,1,1,1
X128014_56,1.647246941,1.612331274,1.436758893,1,1
X128014_64,1.125,1.121080627,1,1.285714286,1
X128014_68,1.511818687,1.703703536,1.710615471,1,1.337662338
X128997_21,1.142857143,1.138961039,NA,NA,NA
X130443_46,1.886622074,1.884432024,1.543948805,1.833333333,1.815934066
X130476_27,1.815544609,1.873610526,1.883384933,1.952380952,1.67254902
X130476_54,1.790739711,1.873610526,1.883384933,1.952380952,1.833333333
X130476_66,1.790739711,1.873610526,1.883384933,1.952380952,1.833333333
X131020_15,1.846524357,1.357158631,NA,NA,NA
X131020_49,1.846524357,1.357158631,NA,NA,NA
X131020_52,1.846524357,1.357158631,NA,NA,NA
X133560_16,1.903622693,1.850638047,NA,NA,NA
X133560_40,1.903622693,1.812323726,NA,NA,NA
X133560_42,1.903622693,1.812323726,NA,NA,NA
X133560_55,1.47012987,1.283682418,NA,NA,NA
X133560_62,1.853588517,1.551434538,NA,NA,NA
X133560_63,1.853588517,1.605564264,NA,NA,NA
X133560_66,1.673957621,1.463025043,NA,NA,NA
X139452_9,1.642002442,1.592182233,NA,NA,NA
X139452_10,1.382173382,1.402477835,NA,NA,NA
X139452_19,1.642002442,1.592182233,NA,NA,NA
X139452_24,1.567277167,1.285325123,NA,NA,NA
X139452_34,1.886935287,1.74780023,NA,NA,NA
X139452_51,1.705982906,1.535158518,NA,NA,NA
X142113_63,1.815544609,1.632483306,NA,NA,NA
X156040_37,1.832374582,1.824577183,1.913312693,1.908496732,1.673957621
X156040_41,1.832374582,1.824577183,1.913312693,1.908496732,1.673957621
X156040_42,1.832374582,1.824577183,1.913312693,1.908496732,1.673957621
X156403_12,1.903622693,1.812323726,NA,NA,NA
X156403_17,1.903622693,1.812323726,NA,NA,NA
X170151_35,1.583843159,1.745488202,NA,NA,NA
X170168_30,1.321524064,1.490907405,1.822134387,1.790299278,1.749145591
X170216_68,1.895856507,1.87987919,1.886034256,1.815934066,1.909774436
X170218_60,1,1.333827847,1.368421053,1.405228758,1.25
X170230_31,1.26984127,1.047619048,NA,NA,NA
X170258_51,1.181818182,1.388557753,1.45,1.45,1
X170258_54,1.181818182,1.388557753,1.45,1.45,1
X170271_54,1.153846154,1.402477835,1.2,1,1
X170271_55,1.153846154,1.402477835,1.2,1,1
X170275_49,1.22459893,1.446611338,NA,NA,NA
X170275_65,1.22459893,1.446611338,NA,NA,NA
X170275_66,1.22459893,1.446611338,NA,NA,NA
X170278_43,1,1.058823529,1.311594203,1,1.181818182
X170278_66,1.222222222,1.219807585,1.166666667,1,1
X170293_13,1.886622074,1.884069948,1.917647059,1.911538462,1.915084915
X170293_16,1.89993311,1.862638678,1.911538462,1.917647059,1.869130869
X170293_17,1.153846154,1.058823529,1.553921569,1.405228758,1.915084915
X170293_24,1.407692308,1.401137054,1.67254902,1.727472527,1.915084915
X170293_35,1.738394649,1.651369464,1.67254902,1.553921569,1.505494505
X170293_57,1.674916388,1.560514486,1.815934066,1.880718954,1.93006993
X170293_67,1.89993311,1.852453102,1.908496732,1.917647059,1.869130869
X170296_21,1,1.044444444,1.2,1.45,1
X170296_23,1.237903226,1,1,1.45,1.45
X170296_50,1.647246941,1.532655914,1.790299278,1.607142857,1.815934066
X170296_57,1.872330367,1.786471456,1.913312693,1.607142857,1.607142857
X170296_61,1.339516129,1.128873,1,1.45,1.815934066
X170296_67,1.887068966,1.883378535,1.845201238,1.911538462,1.727472527
X170297_23,1.22459893,1.218280652,1.543948805,1.50877193,1.337662338
X170297_68,1.117647059,1.218280652,1,1,1.337662338
X170300_15,1.105263158,1.155795785,1.436758893,1.2,1
X170300_66,1.62778568,1.871420543,1.901656315,1.905882353,1.845201238
X170312_10,1.389508531,1.531646325,1.886034256,1.923076923,1.673957621
X170312_68,1.389508531,1.531646325,1.886034256,1.923076923,1.673957621
X170324_66,1.699923606,1.579318618,1.166666667,1.368421053,1
X170326_13,1.855528722,1.874103296,NA,NA,NA
X170326_15,1.487752286,1.380950145,NA,NA,NA
X170326_38,1,1.168924424,NA,NA,NA
X170326_66,1.831593928,1.419524506,NA,NA,NA
X170331_7,1.153846154,1.246791145,NA,NA,NA
X170342_22,1.117647059,1,1.436758893,1.405228758,1
X170342_34,1.409047783,1.354396669,1.436758893,1.553921569,1.181818182
X170342_66,1.487752286,1.538762222,1,1,1
X170353_28,1.22459893,1.17255874,1,1,1
X170353_58,1.321524064,1.286512228,1,1,1
X170371_66,1.88698896,1.846032976,1.906832298,1.789210789,1.853588517
X170393_41,1.676125582,1.756945481,NA,NA,NA
X170393_66,1.801944972,1.854303,NA,NA,NA
X170400_65,1.407692308,1.373567084,NA,NA,NA
X170400_66,1.702558398,1.571058688,NA,NA,NA
X170400_67,1.237903226,1.24866464,NA,NA,NA
X170400_68,1.730523627,1.571058688,NA,NA,NA
X170412_18,1.487752286,1.489138577,1.717234262,1.45,1.607142857
X170412_49,1.117647059,1.203372755,1.368421053,1,1.25
X170412_54,1.321524064,1,1,1.607142857,1
X170412_61,1.409047783,1.515062713,1,1.25,1
X170412_65,1.855528722,1.630072419,1.50877193,1.815934066,1.45
X170412_68,1.855528722,1.63926753,1.50877193,1.815934066,1.45
X170414_36,1.201991465,1.039215686,1.181818182,1.222222222,1.581544771
X170414_66,1.29065908,1.149966526,1,1.222222222,1.581544771
X170432_9,1,1.350307287,1,1.505494505,1
X170432_37,1.867643468,1.885788449,1.67254902,1.67032967,1.80861244
X170432_58,1.26984127,1.723222397,1,1.505494505,1.581544771
X170432_61,1.26984127,1.723222397,1,1,1.581544771
X170432_66,1.898412698,1.823703914,1.67254902,1.869130869,1.845201238
X170448_53,1.543948805,1.678357754,1.833333333,1.790299278,1.876373626
X170448_68,1.822134387,1.883364923,1.833333333,1.905882353,1.815934066
X170453_67,1.81893924,1.653727192,1.543948805,1.67254902,1.624148607
X170463_65,1.719772404,1.632314959,1.624148607,1.67032967,1.67254902
X170463_66,1.719772404,1.642804544,1.624148607,1.67032967,1.764705882
X170463_67,1.719772404,1.642804544,1.624148607,1.67032967,1.67254902
X170474_23,1.409047783,1.367204339,1,1,1
X170474_29,1.750250278,1.790544905,1.181818182,1.405228758,1.790299278
X170474_47,1.22459893,1.121080627,1,1,1
X170474_60,1.117647059,1.15888331,1.181818182,1,1.624148607
X170474_66,1.887068966,1.805277978,1.903622693,1.908496732,1.624148607
X170496_66,1.480976801,1.814599194,1.436758893,1.607142857,1
X170503_8,1,1.189947399,NA,NA,NA
X170507_66,1.596197267,1.603776562,1.436758893,1.505494505,1.2
X170511_68,1.88685171,1.857248054,1.581544771,1.845201238,1.905882353
X170512_61,1.339516129,1.144352483,NA,NA,NA
X170518_66,NA,NA,1.543948805,1.285714286,1
X170518_68,NA,NA,1.543948805,1.285714286,1
X170527_17,1.142857143,1.115013169,NA,NA,NA
X170527_63,1.142857143,1.12202381,NA,NA,NA
X170540_5,1.88685171,1.877833359,1.885030759,1.883384933,1.790299278
X170543_52,1.790299278,1.239446441,NA,NA,NA
X170543_65,1.2,1.064516129,NA,NA,NA
X170543_66,1.883384933,1.8864111,NA,NA,NA
X170543_68,1.2,1.064516129,NA,NA,NA
X170550_36,1.321524064,1.118688197,1.166666667,1.222222222,1
X170550_41,1.801944972,1.837249604,1.886034256,1.880718954,1.885030759
X170556_65,1.252873563,1.222305274,1,1,1
X170556_68,1.252873563,1.222305274,1,1,1
X170575_49,1.212698413,1.260105806,NA,NA,NA
X170602_67,1.88685171,1.794094958,1.853588517,1.876373626,1.853588517
X170606_58,1.465749936,1.446611338,1,1,1
X170606_66,1.651218063,1.473184205,1.436758893,1.337662338,1.47012987
X170608_28,1.837535014,1.738284181,1.673957621,1.181818182,1.673957621
X170608_66,1.699923606,1.709853338,1.853588517,1.749145591,1.853588517
X170610_27,1,1.147212147,1,1.181818182,1.337662338
